Name,Game
Divine Beast Vah Rudania,Breath of the Wild
Divine Beast Vah Ruta,Breath of the Wild
Divine Beast Vah Naboris,Breath of the Wild
Ancient Cistern,Skyward Sword
Temple of Time,Skyward Sword
