PublishYear,Name,Timeline,System,Era
2017,Breath of the Wild,1,Nintendo Switch,Great Calamity
2011,Skyward Sword,1,Wii,Hylia & the Hero of Time
2013,A Link Between Worlds,5,Nintendo 3DS,Fallen Hero
2015,Tri Force Heroes,6,Nintendo 3DS,Fallen Hero
